x,y,z
3.000000000000000000e+01,3.000000000000000000e+01,4.000000000000000000e+01
5.766697112339005571e+01,4.098804033590307938e+01,4.371506102696413620e+01
8.292057660304583067e+01,5.623144299570736848e+01,3.824751261574988348e+01
1.006975992193051468e+02,8.034436822487232632e+01,3.984260000950126113e+01
1.301601255969597446e+02,7.856383502629032023e+01,4.520816064887095820e+01
1.449436090228448677e+02,1.041164794394923092e+02,5.054772816778459799e+01
1.694430055888375648e+02,1.102433227615629079e+02,6.674159610626749384e+01
1.939128469272727671e+02,1.239803323924610368e+02,7.734920805582616765e+01
2.111640984354117734e+02,1.459425714779191026e+02,8.830614082718648206e+01
2.392097556195444383e+02,1.550969755734049613e+02,8.286206158762178120e+01
2.548071240934866637e+02,1.803928665608550546e+02,8.696571798638555606e+01
2.547261524653927438e+02,2.088652511371379603e+02,9.641647246080135858e+01
2.827558004240879654e+02,2.192463459181387009e+02,9.898000643941215060e+01
2.796325328658349463e+02,2.460785960835705737e+02,1.120289738628999601e+02
2.997827535914009331e+02,2.613860569382433141e+02,1.281426403262978511e+02
3.158582974991136325e+02,2.852851082450181934e+02,1.197514404891265514e+02
3.323443872989922738e+02,3.055286599982991902e+02,1.345300552930441427e+02
3.488304770988709151e+02,3.257722117515801870e+02,1.493086700969617198e+02
3.653165668987495565e+02,3.460157635048611837e+02,1.640872849008792969e+02
3.757709559027198338e+02,3.614129183693277128e+02,1.405578698500689541e+02
3.972246610605465094e+02,3.796959519479300980e+02,1.302880491035935222e+02
4.084864708038016374e+02,3.946982395552425373e+02,1.536996489603782834e+02
4.197482805470567655e+02,4.097005271625549767e+02,1.771112488171630446e+02
4.292382833368527599e+02,4.073807292974196912e+02,2.054759872244633812e+02
4.398588034739924524e+02,4.291823380020800300e+02,2.231365197732142462e+02
4.500000000000000000e+02,4.500000000000000000e+02,2.400000000000000000e+02
4.500000000000000000e+02,4.500000000000000000e+02,2.400000000000000000e+02
