x,y,z
3.000000000000000000e+01,3.000000000000000000e+01,4.000000000000000000e+01
3.735613676038197184e+01,3.931267062637586207e+01,4.166432024051780303e+01
4.637409295058613878e+01,5.558408474232950880e+01,4.533373030903788248e+01
5.641076766800330233e+01,6.687359488103540173e+01,4.918523724595186053e+01
6.572704748175016221e+01,7.391152789440451443e+01,5.182629904204358695e+01
8.017755835769887085e+01,7.733640289923661726e+01,5.911382737907791807e+01
9.005572447531416458e+01,8.953644725877776978e+01,6.047326439054636182e+01
9.647311497390967361e+01,1.043933711706942518e+02,6.190521827050626769e+01
1.042924480376262721e+02,1.168081057321227973e+02,6.332464082758881574e+01
1.113529942073012080e+02,1.330194338664190923e+02,7.016662283437203484e+01
1.161872234423371140e+02,1.380467081153611559e+02,6.902168720047409067e+01
1.224703868448134614e+02,1.526548773816257949e+02,7.014612108932270473e+01
1.287633596194455379e+02,1.715734942110497059e+02,6.821562204559886311e+01
1.367239473103682030e+02,1.899792164170258104e+02,6.963357049925808440e+01
1.467540297450006790e+02,2.047377650613273943e+02,6.712786950806618336e+01
1.548793063399449466e+02,2.235853079760396724e+02,6.976647452128477767e+01
1.619119476814099130e+02,2.342523102353866022e+02,6.680503559318073314e+01
1.662497757533206482e+02,2.427802547590895301e+02,6.546463746324779720e+01
1.486001222321949911e+02,2.490334900423898432e+02,7.553852689375011664e+01
1.393280823333792569e+02,2.682653737312239741e+02,6.703875903925315072e+01
1.374197312063252525e+02,2.846303150231070163e+02,7.179575640047080753e+01
1.311129694259399798e+02,2.811290206356252384e+02,8.211748473099001444e+01
1.348392927714023131e+02,2.980376970050128307e+02,7.534516503874398552e+01
1.355471552287522741e+02,2.973717975763889285e+02,9.723647846781821613e+01
1.375254685447470706e+02,2.946464372880021756e+02,1.128780133810517157e+02
1.536704864691179466e+02,2.958600884475144994e+02,1.187732766400766167e+02
1.694648848019659226e+02,3.017367142472298838e+02,1.358456936996920774e+02
1.839322669899048321e+02,3.048738085846782724e+02,1.440052518659319389e+02
1.964070282071321003e+02,3.085239482871059522e+02,1.574763437959016414e+02
2.031537944721089275e+02,3.130189211711394250e+02,1.663576641503478868e+02
2.109147610876372880e+02,3.136870870700116711e+02,1.755518125234245588e+02
2.202993616876367469e+02,3.177965432980029732e+02,1.801660137422776700e+02
2.238177184945275542e+02,3.196222751086435778e+02,1.959100326358304471e+02
2.422863780517745340e+02,3.224592426674456647e+02,1.992435686447894341e+02
2.544400489297192394e+02,3.204440521359427407e+02,2.005833019313979264e+02
2.777050488536752368e+02,3.169781192850338698e+02,2.031910468297798786e+02
3.002164828840804489e+02,3.160457501561073741e+02,2.059812903408194416e+02
3.134556954297452194e+02,3.089540888812173876e+02,2.072549656278932275e+02
3.239652780436117041e+02,3.070107078343417015e+02,2.128178569800856508e+02
3.301948087350264132e+02,3.094962887345118929e+02,2.157717967962783803e+02
3.482117281605957828e+02,3.109147605836383832e+02,2.096362804639708202e+02
3.465658213656494127e+02,3.192907053736763601e+02,2.074663656539292163e+02
3.583613704359454459e+02,3.193799286549485714e+02,2.144670289594968153e+02
3.568506954691305850e+02,3.336711568350418133e+02,2.144809337792821111e+02
3.638993527044105463e+02,3.475045095165953626e+02,2.172369166666690603e+02
3.747678845010137820e+02,3.563793202783501783e+02,2.198053109511535581e+02
3.888450208815870610e+02,3.738972521847232429e+02,2.235840614225225522e+02
3.950858326054242866e+02,3.781477573454093317e+02,2.223069755157609109e+02
4.058351642992397501e+02,3.922126813146472273e+02,2.257703474991932069e+02
4.132967244225829404e+02,4.019757325271332320e+02,2.281744186563564369e+02
4.275047355195518435e+02,4.205661529853585421e+02,2.327521569730415933e+02
4.419137256236112421e+02,4.394195436946336031e+02,2.373946495537351495e+02
4.500000000000000000e+02,4.500000000000000000e+02,2.400000000000000000e+02
